date,equity,daily_return,gross_exposure,net_exposure
2014-01-24,996801.9026023027,0.0,0.0,0.0
2014-01-27,996801.9026023027,0.0,0.0,0.0
2014-01-28,996801.9026023027,0.0,0.0,0.0
2014-01-29,996801.9026023027,0.0,0.0,0.0
2014-01-30,996801.9026023027,0.0,0.0,0.0
2014-01-31,996801.9026023027,0.0,0.0,0.0
2014-02-03,996801.9026023027,0.0,0.0,0.0
2014-02-04,996801.9026023027,0.0,0.0,0.0
2014-02-05,996801.9026023027,0.0,0.0,0.0
2014-02-06,996801.9026023027,0.0,0.0,0.0
2014-02-07,996801.9026023027,0.0,0.0,0.0
2014-02-10,996801.9026023027,0.0,0.0,0.0
2014-02-11,996770.0049414195,-3.200000000000001e-05,79744.15220818424,24729.35457098607
2014-02-12,996610.5204997947,-0.0001600012448549428,0.0,0.0
2014-02-13,996610.5204997947,0.0,0.0,0.0
2014-02-14,996610.5204997947,0.0,0.0,0.0
2014-02-18,996610.5204997947,0.0,0.0,0.0
2014-02-19,996610.5204997947,0.0,0.0,0.0
2014-02-20,996610.5204997947,0.0,0.0,0.0
2014-02-21,996578.6289631388,-3.2000000000000005e-05,79728.84163998358,25161.01356741744
2014-02-24,996949.0349677467,0.00037167765176065597,0.0,0.0
2014-02-25,996949.0349677467,0.0,0.0,0.0
2014-02-26,996949.0349677467,0.0,0.0,0.0
2014-02-27,996949.0349677467,0.0,0.0,0.0
2014-02-28,996949.0349677467,0.0,0.0,0.0
2014-03-03,996949.0349677467,0.0,0.0,0.0
2014-03-04,996949.0349677467,0.0,0.0,0.0
2014-03-05,996949.0349677467,0.0,0.0,0.0
2014-03-06,996949.0349677467,0.0,0.0,0.0
2014-03-07,996949.0349677467,0.0,0.0,0.0
2014-03-10,996949.0349677467,0.0,0.0,0.0
2014-03-11,996949.0349677467,0.0,0.0,0.0
2014-03-12,996949.0349677467,0.0,0.0,0.0
2014-03-13,996949.0349677467,0.0,0.0,0.0
2014-03-14,996949.0349677467,0.0,0.0,0.0
2014-03-17,996949.0349677467,0.0,0.0,0.0
2014-03-18,996949.0349677467,0.0,0.0,0.0
2014-03-19,996949.0349677467,0.0,0.0,0.0
2014-03-20,996949.0349677467,0.0,0.0,0.0
2014-03-21,996949.0349677467,0.0,0.0,0.0
2014-03-24,996949.0349677467,0.0,0.0,0.0
2014-03-25,996949.0349677467,0.0,0.0,0.0
2014-03-26,996949.0349677467,0.0,0.0,0.0
2014-03-27,996949.0349677467,0.0,0.0,0.0
2014-03-28,996949.0349677467,0.0,0.0,0.0
2014-03-31,996949.0349677467,0.0,0.0,0.0
2014-04-01,996949.0349677467,0.0,0.0,0.0
2014-04-02,996949.0349677467,0.0,0.0,0.0
2014-04-03,996949.0349677467,0.0,0.0,0.0
2014-04-04,996949.0349677467,0.0,0.0,0.0
2014-04-07,996949.0349677467,0.0,0.0,0.0
2014-04-08,996949.0349677467,0.0,0.0,0.0
2014-04-09,996949.0349677467,0.0,0.0,0.0
2014-04-10,996949.0349677467,0.0,0.0,0.0
2014-04-11,996949.0349677467,0.0,0.0,0.0
2014-04-14,996949.0349677467,0.0,0.0,0.0
2014-04-15,996949.0349677467,0.0,0.0,0.0
2014-04-16,996949.0349677467,0.0,0.0,0.0
2014-04-17,996949.0349677467,0.0,0.0,0.0
2014-04-21,996949.0349677467,0.0,0.0,0.0
2014-04-22,996949.0349677467,0.0,0.0,0.0
2014-04-23,996949.0349677467,0.0,0.0,0.0
2014-04-24,996949.0349677467,0.0,0.0,0.0
2014-04-25,996949.0349677467,0.0,0.0,0.0
2014-04-28,996949.0349677467,0.0,0.0,0.0
2014-04-29,996949.0349677467,0.0,0.0,0.0
2014-04-30,996917.1325986277,-3.2000000000000005e-05,79755.92279741974,5461.621694373367
